Family,Instance,Alg-1,Duration-1,Alg-2,Duration-2,Alg-3,Duration-3,Alg-4,Duration-4
rna-alignment,k50-23-49.rna.pre.wcnf,255,0,0,15.346,276,5.131,0,15.514
rna-alignment,k50-40-60.rna.pre.wcnf,249,0,2,15.174,275,3.061,2,15.214
kbtree,kbtree9_7_3_5_30_3.wcsp.wcnf,685,0,689,1.272,687,0.064,728,1.251
kbtree,kbtree9_7_3_5_40_1.wcsp.wcnf,751,0,778,1.253,783,0.088,845,1.249
kbtree,kbtree9_7_3_5_40_3.wcsp.wcnf,775,0,776,1.256,771,0.088,859,1.246
kbtree,kbtree9_7_3_5_50_1.wcsp.wcnf,752,0,785,1.255,806,0.087,879,1.262
kbtree,kbtree9_7_3_5_50_4.wcsp.wcnf,780,0,808,1.27,778,0.089,895,1.262
kbtree,kbtree9_7_3_5_50_6.wcsp.wcnf,806,0,800,1.273,817,0.089,900,1.25
kbtree,kbtree9_7_3_5_60_1.wcsp.wcnf,778,0,819,1.268,797,0.099,934,1.265
kbtree,kbtree9_7_3_5_70_5.wcsp.wcnf,718,0,823,1.239,795,0.11,944,1.275
kbtree,kbtree9_7_3_5_80_2.wcsp.wcnf,643,0,798,1.268,832,0.096,945,1.254
kbtree,kbtree9_7_3_5_80_5.wcsp.wcnf,672,0,798,1.264,748,0.091,945,1.267
kbtree,kbtree9_7_3_5_90_4.wcsp.wcnf,567,0,788,1.268,802,0.056,945,1.244
kbtree,kbtree9_7_3_5_90_5.wcsp.wcnf,555,0,781,1.26,795,0.087,945,1.281
close_solutions,SAT02__industrial__biere__dinphil__dp10s10.shuffled.cnf.wcnf.8.wcnf,3779,0,5487,51.666,7727,1.976,7748,50.825
close_solutions,SAT04__industrial__velev__pipe-sat-1-1__12pipe_bug6_q0.used-as.sat04-725.cnf.wcnf.3.wcnf,69319,0.01,134258,1801.63,69734,1806.34,134184,1801.42
close_solutions,SAT07__industrial__vliw_sat_4.0__9vliw_m_9stages_iq3_C1_bug5.cnf.wcnf.1.wcnf,259803,0.035,515760,1805.15,259927,174.792,515760,1806.04
close_solutions,SAT07__industrial__vliw_sat_4.0__9vliw_m_9stages_iq3_C1_bug6.cnf.wcnf.3.wcnf,259826,0.036,515191,1805.92,260488,185.952,515192,1805.37
close_solutions,SAT09__APPLICATIONS__satComp09_BioInstances__rbcl_xits_18_SAT.cnf.wcnf.2.wcnf,1412,0,2415,29.739,2881,5.663,2881,28.487
close_solutions,SAT11__application__fuhs__AProVE11__AProVE11-09.cnf.wcnf.4.wcnf,34650,0.008,44356,1439.39,68746,30.529,68756,1521.27
close_solutions,SAT11__application__fuhs__AProVE11__AProVE11-10.cnf.wcnf.3.wcnf,145475,0.034,149342,1800.43,145136,1854.07,149417,1800.3
close_solutions,SAT11__application__fuhs__AProVE11__AProVE11-12.cnf.wcnf.2.wcnf,22470,0.003,27802,663.448,44752,11.326,44781,744.694
close_solutions,SAT11__application__jarvisalo__AAAI2010-SATPlanning__aaai10-planning-ipc5-pipesworld-12-step16.cnf.wcnf.7.wcnf,34491,0.004,63606,1800.36,68951,28.575,64785,1800.29
close_solutions,SAT11__application__jarvisalo__AAAI2010-SATPlanning__aaai10-planning-ipc5-pipesworld-12-step16.cnf.wcnf.8.wcnf,34401,0.005,63523,1800.38,68951,26.919,64806,1800.53
close_solutions,SAT11__application__jarvisalo__smtqfbv-aigs__smtlib-qfbv-aigs-bin_libmsrpc_vc1225336-tseitin.cnf.wcnf.4.wcnf,103584,0.024,136744,1800.26,206712,108.198,144774,1800.33
close_solutions,SAT11__application__leberre__2dimensionalstrippacking__E05F18.cnf.wcnf.8.wcnf,3816,0.001,6412,60.994,7743,36.921,7775,60.17
close_solutions,SAT11__application__manthey__traffic__traffic_3_uc_sat.cnf.wcnf.8.wcnf,70809,0.017,75030,1800.68,142128,43.049,80020,1800.9
close_solutions,SAT11__application__rintanen__SATPlanning__blocks-blocks-36-0.170-NOTKNOWN.cnf.wcnf.6.wcnf,347149,0.048,683594,1804.98,347495,170.514,683584,1805.21
close_solutions,SAT11__application__rintanen__SATPlanning__openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.085-SAT.cnf.wcnf.1.wcnf,162044,0.038,300869,1800.95,324093,51.417,301243,1800.95
close_solutions,SAT11__application__rintanen__SATPlanning__openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.085-SAT.cnf.wcnf.5.wcnf,162428,0.029,300872,1800.99,324105,51.036,301247,1800.7
close_solutions,SAT_RACE06__velev-pipe-sat-1.0-b9.cnf.wcnf.2.wcnf,58763,0.009,116941,1802.34,59018,214.964,116944,1802.61
close_solutions,SAT_RACE08__cnf__ibm-2004-01-k90.cnf.wcnf.10.wcnf,32652,0.003,46942,1416.74,64694,9.26,64694,1315.34
close_solutions,teams16_l6a.cnf.wcnf,1253,0,2114,18.838,2488,10.295,2504,19.485
close_solutions,TEAMS20_l10aa.cnf.wcnf,2370,0.001,4320,60.472,4723,2.988,4723,53.776
