4.818713524,192.168.0.2:46162,192.168.1.2:5001,44,0x276166a1,0x276133a1,10,69,28960,59223,29312
4.822995407,192.168.0.2:46162,192.168.1.2:5001,52,0x276166a1,0x276133a1,7,7,34816,59354,29312
4.824236416,192.168.0.2:46162,192.168.1.2:5001,52,0x276166a1,0x276133a1,4,7,37760,59924,29312
4.824573346,192.168.0.2:46162,192.168.1.2:5001,52,0x276166a1,0x276133a1,6,7,43520,60629,29312
4.824584240,192.168.0.2:46162,192.168.1.2:5001,52,0x276166a1,0x276133b9,7,7,43520,61050,29312
4.824591543,192.168.0.2:46162,192.168.1.2:5001,44,0x276166a1,0x276133b9,7,7,43520,61050,29312
4.824602355,192.168.0.2:46162,192.168.1.2:5001,32,0x276166a1,0x276133b9,4,7,49280,61633,29312
4.886152152,192.168.0.2:46162,192.168.1.2:5001,44,0x2761aa81,0x276166a1,12,69,55040,61929,29312
4.890455102,192.168.0.2:46162,192.168.1.2:5001,32,0x2761aa81,0x276166a1,12,69,55040,61929,29312
4.938699436,192.168.0.2:46162,192.168.1.2:5001,44,0x2761b5d1,0x27616c49,13,69,57984,62298,29312
4.938718558,192.168.0.2:46162,192.168.1.2:5001,32,0x2761b5d1,0x27616c49,13,69,57984,62298,29312
4.939605312,192.168.0.2:46162,192.168.1.2:5001,44,0x2761cc71,0x27617d41,16,69,66688,68598,29312
4.939616519,192.168.0.2:46162,192.168.1.2:5001,44,0x2761cc71,0x27617d41,18,69,72448,74082,29312
4.939624100,192.168.0.2:46162,192.168.1.2:5001,52,0x2761cc71,0x27617d41,20,69,78208,78914,29312
4.939630610,192.168.0.2:46162,192.168.1.2:5001,32,0x2761cc71,0x27617d41,20,69,78208,78914,29312
4.984536636,192.168.0.2:46162,192.168.1.2:5001,32,0x27620aa9,0x27619989,21,69,81152,83241,29312
4.984805054,192.168.0.2:46162,192.168.1.2:5001,32,0x276215f9,0x27619f31,22,69,84096,92449,29312
4.985398870,192.168.0.2:46162,192.168.1.2:5001,32,0x27622c99,0x2761aa81,24,69,89856,100478,29312
5.001131780,192.168.0.2:46162,192.168.1.2:5001,44,0x276248e1,0x2761b5d1,26,69,95616,99784,29312
5.001899236,192.168.0.2:46162,192.168.1.2:5001,44,0x27625f81,0x2761b5d1,28,69,101376,94771,29312
5.001912978,192.168.0.2:46162,192.168.1.2:5001,52,0x27625f81,0x2761bb79,29,69,104320,90822,29312
5.001923997,192.168.0.2:46162,192.168.1.2:5001,60,0x27625f81,0x2761bb79,33,69,115840,87155,29312
